Title,DOI,"RQ1.1.P1
 Lifecycle Stage","RQ1.1.P2
 Energy Awareness Stage","RQ1.1.P3
 Integration Approach","RQ1.2.P1
 Component Type","RQ1.2.P2
 Energy consumption source","RQ1.2.P3
 Component Relationship","RQ2.1.P1
 Measurement Level","RQ2.1.P2
 Measurement Technique","RQ2.1.P3
 Data Collection","RQ2.1.P4
 Implementation Approach","RQ2.2.P1
 Tool Type","RQ2.2.P2
 Deployment Method","RQ2.2.P3
 Analysis Capability","RQ2.2.P4
 Granularity","RQ2.3.P1
 Metric Type","RQ2.3.P2
 Measurement Scope","RQ2.3.P3
 Normalization Basis","RQ2.3.P4
 Business Relevance","RQ3.1.P1
 Modernization Strategy","RQ3.1.P2
 Solution Category","RQ3.1.P3
 Implementation Technologies","RQ3.2.P1
 Quality Attribute","RQ3.2.P2
 Trade-off Relationship","RQ3.2.P3
 Trade-off Severity","RQ3.2.P4
 Trade-off Strategy","RQ3.3.P1
 Challenge Type","RQ3.3.P2
 Adoption Phase","RQ3.3.P3
 Challenge Complexity","RQ3.3.P4
 Mitigation Approach"
PISCO: A smart simulator to deploy energy saving methods in microservices based networks,10.1109/IE54923.2022.9826775,Runtime,Runtime,Runtime monitoring; scheduling algorithms for energy-aware (re)deployment,Microservices,CPU; Network traffic; hard disk,"Microservice communication paths affect network load and energy use (e.g., saturated links, multi-hop communication).",Hardware,Model-based estimation (energy formulas per hardware component),Monitoring via device supervisors,Simulator-based measurement,Simulator (PISCO),Supervisor running on each device,Energy consumption per device; scenario-wide energy analysis; QoS-energy evaluation,Per device; whole-scenario level,Power consumption; energy consumption (kWh),Per device; entire scenario,N/A,QoS (performance/response level),Dynamic microservice (re)deployment and migration,Scheduling,PISCO; Kaligreen; Kalimucho,QoS; performance,Inverse relationship (higher QoS - higher energy consumption),N/A,Adaptive scheduling algorithms  (centralized or decentralized),Technical - heterogeneous hardware complicates accurate energy handling; Technical - naive scheduling causes oscillations and inefficiency; Measurement - defining correct energy formulas and QoS heuristics is difficult,N/A,N/A,N/A
RADIANCE: A CASE Tool For Green Software Design,10.1109/WETICE64632.2024.00024,analysis & design; development; deployment; maintenance,Analysis & Design,"energy-consuming pattern assessment; design advice 
",N/A,CPU; RAM,N/A,N/A,Model-based estimation,Agent simulation dataset,Behavioral load simulator,Simulator,N/A,"energy rating; energy-consuming pattern analysis 
",Per function; per model; per component,energy rating,Per function; per model; per component,N/A,N/A,Design change recommendation,N/A,N/A,N/A,N/A,N/A,N/A,lack of tools for early-stage design; technical; overhead of applying energy-saving practices; organizational; limited knowledge among students and developers; technical,analysis & design; development,Complex,RADIANCE tool; training; energy pattern reporting
SatEdge: Platform of Edge Cloud at Satellite and Scheduling Mechanism for Microservice Modules,10.1109/ACCESS.2023.3330649,N/A,N/A,N/A,microservice modules; satellite nodes; inter-satellite links,CPU cycles; transmission between ground and satellites; inter-satellite transmission,"Inter-satellite communication and workflow scheduling affect energy use, as transmission and propagation between satellites add to total energy consumption.","satellite-node computation and transmission (hardware-level) 
",Model-based estimation,N/A,N/A,N/A,N/A,N/A,N/A,Total energy consumption,"service workflow across satellites 
",N/A,task success rate and end-to-end delay,optimal microservice scheduling,Scheduling,KubeEdge,delay; task success rate,improves,moderate - OMS-AM reduces task processing latency by 14% compared to OMS-A,Adaptive scheduling (OMS-AM),Technical - satellite mobility causes dynamic topology changes that complicate efficient microservice scheduling,operation,complex,adaptive microservice scheduling (OMS-AM)
Service Level Objective Adaptive Energy Efficiency Management,10.1109/ICPADS56603.2022.00082,Runtime,Runtime,runtime power management / closed-loop control using service quality metrics (SLO-based adaptive core frequency scaling),Processor cores,"CPU (processor core frequency / dynamic power) 
",N/A,Hardware (CPU power measurements),direct power measurement (CPU power in watts),runtime monitoring via periodic SLI metric collection (service mesh telemetry),benchmark workload (microservices-framework-benchmark + WRK),benchmark / workload generator (WRK; microservices-framework-benchmark),agent (PM-Agent running on worker node),"energy saving analysis (correlating core frequency, latency, throughput, and power)","per core / per node 
","power consumption; energy saving ratio 
","infrastructure (node / core level) 
",N/A,"SLO compliance / service quality goals 
","adaptive runtime power management (SLO-based core frequency scaling) 
",workload power management (adaptive core frequency control),service mesh (Istio); Kubernetes; Intel Xeon Per-Core P-States,"performance (tail latency, throughput) 
",balances (energy reduction without compromising service quality),"minor — energy savings were achieved “without compromising service quality goals,” indicating minimal impact on performance metrics such as tail latency and throughput 
","adaptive policy (SLO-adaptive core frequency control) 
",technical; power control and service quality exist in separate layers; fixed peak-frequency provisioning wastes energy; autoscaling is slow and not energy-aware,Operation,Complex,"SLO-adaptive energy management (integrating service metrics with power control via SLO-AEEM) 
"
SIMR: Single Instruction Multiple Request Processing for Energy-Efficient Data Center Microservices,10.1109/MICRO56248.2022.00040,N/A,N/A,N/A,"services; APIs; memory allocations; caches
","CPU frontend; OoO pipeline; execution units; memory system (L1/L3 caches, DRAM); branch prediction; network/storage I/O
","batching similar requests reduces control-flow divergence and memory divergence, improving energy efficiency",hardware; CPU core; pipeline stage; memory system; request-level (via SIMT traces),"model-based estimation (McPAT, GPUWattch)",tracing (PIN-based); dynamic instrumentation,"PIN-based dynamic instrumentation; trace-driven simulation (Accel-Sim, BookSim); energy modeling with McPAT/GPUWattch; system-level simulation with uQSIM",simulator,userspace dynamic instrumentation; offline trace-driven simulation,per-request energy; chip-level energy; end-to-end latency/throughput analysis,per-request; chip-level; pipeline-stage; memory-access,Requests; Joules,"entire application
",Per request,SLA Compliance,batching requests; memory coalescing; batch splitting; SIMR-aware software stack; specialized RPU hardware,workload batching,RPU hardware platform,"service latency; throughput; QoS
",Balances,"moderate — energy efficiency improves significantly, but service latency still increases by 1.44× on average.",batch splitting,"technical: GPUs lack system-call support and have high latency, limiting applicability; technical: requires SIMR-aware batching, memory mapping, and driver changes; tooling: existing tools (e.g., PIN) cannot trace system calls; programmability: GPUs and SIMD approaches require specialized languages or recompilation, reducing developer productivity",Implementation,Complex,SIMR-aware software stack
"Studying the end-to-end performance, energy consumption and carbon footprint of fog applications",10.1109/ISCC61673.2024.10733735,N/A,N/A,N/A,"computing nodes; network interfaces; core routers; microservice services 
","CPU load; network communication; Wi-Fi interface activity; Ethernet interface utilization; core router data transfer 
","service-to-service communication patterns; number of service replicas; data transfer sizes; network hops 
","computing nodes; network interfaces; core routers 
","model-based estimation; energy models for servers; energy models for wired and Wi-Fi interfaces; proportional router energy model 
",N/A,simulation using validated energy models; benchmark-based microservice traces (DeathStarBench),Simulator (Simgrid),N/A,energy of computing nodes; energy of network interfaces; energy of core routers; end-to-end energy consumption,per node; per network interface; per core router,energy consumption; GHG emissions; PUE,entire application; infrastructure,N/A,user-perceived latency,service placement strategies; autoscaling; improving PUE,workload management; autoscaling; service placement,n/a,performance; latency; GHG emissions,degrades,"significant — fog nodes require many more service replicas, increasing energy use, and network distance strongly impacts latency and emissions",service placement decisions; autoscaling policies,N/A,N/A,N/A,N/A
"TeaStore: A Micro-Service Reference Application for Benchmarking, Modeling and Resource Management Research",10.1109/MASCOTS.2018.00030,Design; deployment; runtime,Design; deployment; runtime,deployment optimization; run-time analysis/management,services,Power consumption of physical servers,"deployment order and service placement decisions
",Hardware (Physical server),Direct Power Measurement,sampling (1-second intervals),Benchmark workloads (TeaStore experiments),Energy Meter,N/A,N/A,Per Physical server,Energy efficiency; estimated capacity; maximum power consumption,entire application / multi-server deployment,Power consumption,N/A,Service placement optimization,Service placement; deployment optimization,Docker,Performance,Trade-off,"moderate — different deployments show notable variations in both power consumption and performance, indicating a meaningful performance–efficiency trade-off.",N/A,technical; deployment order decisions are complex and affect power/performance; measurement; power behavior varies across deployments making accurate prediction difficult,Deployment; operation,Complex,N/A
Towards Digital Sustainability: Involving Cloud Users as Key Players,10.1109/IC2E61754.2024.00021,N/A,Runtime,Runtime adaptation algorithm,service,CPU,N/A,Request,Software probe,Monitoring probe,Benchmarking with external tool,Monitoring probe,N/A,Per request energy,Per request,energy consumption; power consumption; CO2 emissions,application,per request; per scenario,quality of experience,dynamic adaptation algorithm,workload management,Kubernetes,Output quality,degrates; balances,severe - large energy reductions (up to 84%) require notable quality degradation,adaptive algorithm,technical — QoE evaluation is difficult and application-dependent; measurement — calibration requires time and energy and is hard to scale; technical — attributing online energy measurements to configurations is challenging; technical — energy measurement is not possible on public clouds due to virtualization limits,design; implementation; operation,Complex,test protocols; online learning
Towards Greener Applications: Enabling Sustainable-aware Cloud Native Applications Design,10.1007/978-3-031-07472-1_6,Deployment; Runtime,Runtime,Runtime monitoring,"microservices/containers (their CPU utilization determines host/server energy consumption)
",CPU,N/A,Hardware (Server/host level),Power Measurement APIs,monitoring framework (Grid’5000 power measurement APIs),External tool,Energy Meter,External service,Host Energy Consumption,Per node,Power Consumption,Infrastructure,N/A,SLA compliance,"deactivating optional microservices
",Scheduling; autoscaling,Docker; Docker Swarm,Performance (response time),Balances,"moderate — energy savings are substantial but come with noticeable increases in response time under certain policies
","adaptive policy
","technical — requires accurate power models and real-time monitoring; measurement — depends on external energy measurement APIs and infrastructure
",Operation,Complex,Monitoring improvements
X-MAN: A Non-Intrusive Power Manager for Energy-Adaptive Cloud-Native Network Functions,10.1109/TNSM.2021.3126822,Runtime,N/A,Runtime monitoring; adaptive power management,Containerized network functions (CNFs) on CPU cores,CPU (core processing),Low-latency packet-chained microservices increase inter-component communication,Hardware (CPU power via RAPL),direct power measurement (Turbostat hardware-level power reporting),periodic sampling via eBPF map monitoring and Turbostat,external tool (Turbostat); kernal-level eBPF/XDP monitoring,Energy meter (Turbostat),External tool,Per-CPU power analysis,Per-CPU (per CPU package and per CPU core),Power Consumption,Infrastructure,link utilization - the power metric compared across different network traffic load levels,user-perceived latency,adaptive power management,workload management,Docker,Latency,balance,minor - paper only introduces minuscule to minor latency increases,adaptive policy,technical - accurately estimating per-CNF workload for power management,implementation; operation,complex,kernal-space monitoring and adaptive power management
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
