Title,DOI,"RQ1.1.P1
 Lifecycle Stage","RQ1.1.P2
 Energy Awareness Stage","RQ1.1.P3
 Integration Approach","RQ1.2.P1
 Component Type","RQ1.2.P2
 Energy consumption source","RQ1.2.P3
 Component Relationship","RQ2.1.P1
 Measurement Level","RQ2.1.P2
 Measurement Technique","RQ2.1.P3
 Data Collection","RQ2.1.P4
 Implementation Approach","RQ2.2.P1
 Tool Type","RQ2.2.P2
 Deployment Method","RQ2.2.P3
 Analysis Capability","RQ2.2.P4
 Granularity","RQ2.3.P1
 Metric Type","RQ2.3.P2
 Measurement Scope","RQ2.3.P3
 Normalization Basis","RQ2.3.P4
 Business Relevance","RQ3.1.P1
 Modernization Strategy","RQ3.1.P2
 Solution Category","RQ3.1.P3
 Implementation Technologies","RQ3.2.P1
 Quality Attribute","RQ3.2.P2
 Trade-off Relationship","RQ3.2.P3
 Trade-off Severity","RQ3.2.P4
 Trade-off Strategy","RQ3.3.P1
 Challenge Type","RQ3.3.P2
 Adoption Phase","RQ3.3.P3
 Challenge Complexity","RQ3.3.P4
 Mitigation Approach"
DRACeo: A smart simulator to deploy energy saving methods in microservices based networks,10.1109/WETICE49692.2020.00026,Deployment; Runtime,Introduced at configuration/deployment by defining device energy models and parameters,"As runtime (centralized/decentralized) scheduling with redeployment/migration/duplication and device start/stop, guided by QoS and energy monitoring/analysis.",Microservices; devices; scheduling algorithms,"Usage level of devices, including CPU frequency, hard disk transfer rates & network transfer rates",N/A,Hardware level; microservice level,N/A,Simulated events,Simulated execution,Simulator,Run as a desktop application,Energy consumption per device or entire scenario,Per device,Power Consumption,Device level,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dynamic Management of Constrained Computing Resources for Serverless Services,10.1109/TNSM.2024.3497155,Deployment; Runtime,Runtime,Runtime monitoring / runtime optimization,"Containers (cold, warm, running) and servers",CPU load / active servers,Reuse of warm containers reduces cold-starts and lowers CPU/energy usage,Server; request,model-based estimation,Logging,benchmark workloads (faas-profile and serverless-faas-workbench),Simulator (CloudSimSDN),N/A,Power consumption of servers (overall energy usage),per request / per server,Power consumption; energy consumption per request,Infrastructure,per request,SLA compliance,Energy-aware orchestration via dynamic container and server provisioning,Scheduling; autoscaling,Docker; Kubernetes,Performance (SLA compliance),balance,N/A,adaptive policy (dynamic container and server provisioning),technical,operation,N/A,dynamic container and server provisioning
Efficient Microservice Deployment in the Edge-Cloud Networks With Policy-Gradient Reinforcement Learning,10.1109/ACCESS.2024.3461149,Runtime,Runtime,Energy consumption is optimized during microservice placement and execution,"Edge devices (servers) running microservices; microservice resource usage (CPU, RAM) impacts energy consumption",device energy use and network communication costs,"Microservice dependencies increase communication overhead, affecting energy usage",Edge-device (hardware) level,model-based estimation,N/A,Simulated via an energy consumption model in EdgeSimPy,Simulator (EdgeSimPy),N/A,Energy consumption during application deployment (edge-device energy use),Per edge device (node),energy consumption,entire application / edge devices,N/A,"user-perceived performance (execution time, latency)",RL-based optimization microservice placement,scheduling / placement optimization,EdgeSimPy (Simulator),"Performance (execution time/latency), network usage, reliability",balance,moderate - improving energy affects other attributes by 2-16%,adaptive RL policy (BAMPP),technical - handling microservice dependencies and resource constraints,runtime,complex,RL-based optimized microservice placement (BAMPP)
Enabling efficient collection and usage of network performance metrics at the edge,10.1016/j.comnet.2025.111158,N/A,N/A,N/A,N/A,N/A,N/A,Service; container,Model-based estimation,Monitoring (Prometheus; Kepler),External Tool,Monitoring Platform (Kepler),N/A,Per-pod energy,Per pod,Energy consumption; idle power,Per instance,N/A,N/A,N/A,N/A,N/A,latency; availability; scalability; consistency,degrades,severe (etcd energy consumption increases up to 4x under high-frequency workloads),Tuning,Technical,Design,Complex - the paltform must ensure resilence and other SQAs without excessively compromising availability or becoming a bottleneck,Adjusting the maintenance periodicity and configuration of etc/Redis to prevent resource exhaustion and reduce energy overhead
Energy efficient scheduling of application components via brownout and approximate markov decision process,10.1007/978-3-319-69035-3_14,Deployment; Runtime,Explicitly at runtime,Runtime adaptation via brownout controller; energy-aware scheduling/VM consolidation,components/microservices - deactivation lowers VM utilization; virtual machines - consolidation/migration changes load; hosts/servers - lower CPU utilization and power,CPU (server CPU utilization - idle and dynamic power),Deactivating non essential services when system is overloaded,Hardware level (server power from CPU utilization),Model-based estimation,Trace-driven simulation (CloudSim),Simulation in CloudSim with PlanetLab workload traces; host power estimated via server power model,Simulator (CloudSim),N/A,Total energy consumption; discount amount; overload treshold; percentage of optional utilization,Per host/node; overall datacenter,total energy consumption (kWh); discount amount,Infrastructure/datacenter,N/A,Discount amount - user price discount / provider revenue loss,Brownout-based temporary deactivation; approximate Markov Decision Process-based scheduling,Scheduling,CloudSim,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Energy Efficient Scheduling of Cloud Application Components with Brownout,10.1109/TSUSC.2017.2661339,Runtime,Runtime,Runtime dynamic deactivation of optional components,Application components / microservices (optional components whos deactivation reduces utliziation and energy),CPU,Connected components (deactivation cascades due to data-dependency),Server-level power model (based on host CPU utilization),model-based estimation,N/A,Benchmark workload (PlanetLab workload trace),Simulator (CloudSim),N/A,N/A,Per host / server,Power Consumption,Infrastructure,CPU utilization,Cost (discount offered to users),dynamic deactivation of optional components,scheduling,CloudSim,User experience,degrades,N/A,adaptive policy,N/A,N/A,N/A,N/A
Energy-Delay-Aware Joint Microservice Deployment and Request Routing with DVFS in Edge: A Reinforcement Learning Approach,10.1109/TC.2025.3535826,Deployment; Runtime,N/A,Runtime Adaption,microservice instances; edge servers,CPU operating frequency; processing load on edge servers,communication between microservice instances affects energy through propagation delays and routing decisions,Hardware,model-based estimation,N/A,N/A,N/A,N/A,N/A,N/A,basic energy consumption; processing energy consumption; total energy consumption,entire edge scenario,N/A,user-perceived delay,dynamic adaptation,service orchestration,N/A,Performance,balance,N/A,dynamic adaptation,N/A,N/A,N/A,N/A
Enriching Cloud-native Applications with Sustainability Features,10.1109/IC2E59103.2023.00011,Design; development; deployment; runtime,Design; development; deployment; runtime,Non-functional properties; sustainability metadata annotations; workflow adaptation rules; runtime sustainability monitoring,microservices,N/A,N/A,N/A,N/A,monitoring data from infrastructure provider,N/A,energy estimation tools; cloud provider dashboards,N/A,CO2 emissions estimations; energy consumption estimation,Cloud service level; cloud instance level,sustainability awareness score; microservice classification score; microservice enrichment score,Entire application,Coverage percentage,N/A,enriching application design with sustainability features,Workflow adaptation; sustainability-aware deployment,N/A,QoS; QoE; performance,Balances; may reduce quality when disabling optional components,N/A,Adaptive workflow; selecting optional or alternative microservice versions,"Technical - lack of standard models to represent sustainability context; Measurement - limited, untimely, or coarse-grained energy and CO2 data from providers; organizational - insufficient information sharing between application providers and infrastructure providers; tooling - existing tools lack detail and do not support fine-grained application-level sustainability features",Design; implementation; operation,Complex; systemic,Enriching application design with sustainability features; integrating sustainability metadata into implementation; providing sustainability feedback from monitoring systems
Exploring Sustainable Alternatives for the Deployment of Microservices Architectures in the Cloud,10.1109/ICSA59870.2024.00012,N/A,N/A,N/A,services; nodes; components; operations,CPU (server CPU utilization),N/A,Hardware (server CPU),Model-based estimation,N/A,"benchmark workload (Train Ticket Booking Service)
",N/A,N/A,N/A,N/A,Power consumption; response time; complexity; cost,entire system,N/A,cost; response time,refactoring,service consolidation,Docker; Amazon EC2; UML with MARTE profile; Layered Queueing Networks (LQN); NSGA-II,Performance; cost,degrades,"moderate - response time shows a medium PSP effect, indicating a significant performance degradation when optimizing for power",multi-objective optimization,N/A,N/A,N/A,N/A
Fifer: Tackling Resource Underutilization in the Serverless Era,10.1145/3423211.3425683,Runtime,Explicitly at runtime,Runtime monitoring and autoscaling; bin-packing; batching/queuing; container provisioning,N/A,N/A,N/A,Hardware level; cluster-wide,model-based estimation,sampling (10-second intervals),external tool (Intel Power Gadget),Energy meter,External tool,Energy consumed by all sockets in a node,host/machine-level,cluster-wide energy consumption; energy per request; container utilization,cluster-wide,time,cost (31% energy consumption savings); performance (latency/throughput),re-architecting (serverless-aware resource management),workload management; scheduling; autoscaling,Kubernetes; Brigade (serverless workflow); Docker; MongoDB; TensorFlow/Keras; Python daemon,SLOs (Service Level Objectives),balance; may degrade SLO,moderate; ~10-15% higher SLO against ~31% energy savings,"adaptive policy (stage-aware batching, LSTM-based proactive scaling, bin-packing)",technical; tooling,operation,moderate,tooling improvement
