Type,Title,Author,Phase,Publication Date,URL,Keywords,DOI,ISBN,Notes,Status
Article,Oversubscribing micro-clouds with energy-aware containers scheduling,"Mendes, Se{\'r}gio and Sim{\~a}o, Jos{\'e} and Veiga, Lu{\'\i}s",Pilot Study,"January 1, 2019",https://dl.acm.org/doi/10.1145/3297280.3297295,"containers ochestration, energy efficiency, oversubscription",,,extension to docker swam to improve CPU & memory utilization,
Conference,Energy Consumption and Quality of Service Optimization in Containerized Cloud Computing,"Canosa, Rewer and Tchernykh, Andrei and Cortés-Mendoza, Jorge M. and Rivera-Rodriguez, Raúl and Rizk, Jose Lozano and Avetisyan, Arutyun and Du, Zhihui and Radchenko, Gleb and Concepción Morales, Eduardo R.",Pilot Study,"January 1, 2018",https://ieeexplore.ieee.org/document/8675157,"1/f noise, cloud computing, container, scheduling strategies, two dimensional dispalys",,,Strategies to analyse performance and simulation of containers,
Conference,A Framework and Algorithm for Energy Efficient Container Consolidation in Cloud Data Centers,"Piraghaj, Sareh Fotuhi and Dastjerdi, Amir Vahid and Calheiros, Rodrigo N. and Buyya, Rajkumar",Pilot Study,"January 1, 2015",https://ieeexplore.ieee.org/document/7396528,"cloud computing, container, correlation, energy consumption, energy efficiency, power demand, servers, virtual machines, virtualization",,,"although quite old, may have potential methods for improving energy consumption of containers",
Article,Container-based fog computing architecture and energy-balancing scheduling algorithm for energy IoT,"Luo, Juan and Yin, Luxiu and Hu, Jinyu and Wang, Chun and Liu, Xuan and Fan, Xin and Luo, Haibo",Pilot Study,"January 1, 2019",https://www.sciencedirect.com/science/article/pii/S0167739X1831358X,,,,seems to be more focused on the energy of the IoT devices,Rejected
Journal,A Genetic Algorithm-Based Energy-Efficient Container Placement Strategy in CaaS,"Zhang, Rong and Chen, Yaxing and Dong, Bo and Tian, Feng and Zheng, Qinghua",Pilot Study,"January 1, 2019",https://ieeexplore.ieee.org/document/8813096,"biological cells, container, container as a service, container placement, degradation, energy consumption, genetic algorithms, resource mangement, servers",,,potential energy saving methods using container placement,
Article,Energy Efficiency in Cloud Computing: Exploring the Intellectual Structure of the Research Field and Its Research Fronts with Direct Citation Analysis,"Kozakiewicz, Adam and Lis, Andrzej",Pilot Study,"January 1, 2021",https://www.mdpi.com/1996-1073/14/21/7036,,,,"does not consider containers or virtualization ",Rejected
Article,A systematic review on effective energy utilization management strategies in cloud data centers,"Panwar, Suraj Singh and Rauthan, Man Mohan Singh and Barthwal, Varun",Pilot Study,,https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-022-00368-5#Abs1,,,,no mention of virtualization or containerization,Rejected
Article,Energy efficiency in cloud computing data centers: a survey on software technologies,"Katal, Avita and Dahiya, Susheela and Choudhury, Tanupriya",Pilot Study,"January 1, 2023",https://link.springer.com/article/10.1007/s10586-022-03713-0,"cloud computing, containerization, datacenter, load balancing, workload categorization",10.1007/s10586-022-03713-0,,"potentially useful for green tactics, energy consumption facts",
Conference,Containerization: For Over-the-Air Programming of Field Deployed Internet-of-Energy Based on Cost Effective LPWAN,"Asif, Rameez and Ghanem, Kinan and Irvine, James",Pilot Study,"January 1, 2020",https://ieeexplore.ieee.org/document/9283752,"cloud computing, container, hardware, programming, virtual machines, virtualization, wide area networks",,,,
Conference,EnLoB: Energy and Load Balancing-Driven Container Placement Strategy for Data Centers,"Kaur, Kuljeet and Garg, Sahil and Kaddoum, Georges and Gagnon, Francois and Jayakody, Dushantha Nalin K.",Pilot Study,"January 1, 2019",https://ieeexplore.ieee.org/document/9024592,,,,specific to container placement in datacenters,Rejected
Conference,The Evolution of Cloud Computing and Its Contribution with Big Data Analytics,,Pilot Study,"January 1, 2020",https://link.springer.com/chapter/10.1007/978-3-030-38040-3_38,,,,cloud computing & big data analytics - not relevant,Rejected
Journal,iBrownout: An Integrated Approach for Managing Energy and Brownout in Container-Based Clouds,"Xu, Minxian and Toosi, Adel Nadjaran and Buyya, Rajkumar",Pilot Study,"January 1, 2019",https://ieeexplore.ieee.org/document/8302602,"cloud computing, container, datacenter, energy consumption, energy efficiency, microservices, prototypes, quality of service, servers",,,methods of reducing energy consumption within containers,
Article,A whale optimization system for energy-efficient container placement in data centers,"Al-Moalmi, Ammar and Luo, Juan and Salah, Ahmad and Li, Kenli and Yin, Luxi",Pilot Study,"January 1, 2021",https://www.sciencedirect.com/science/article/pii/S0957417420305431,"cloud computing, container as a service, virtual machine placement, whale optimization",,,not totally relevant but potentially useful for methods to save energy through container placement,
Article,Container-based load balancing for energy efficiency in software-defined edge computing environment,"Singh, Amritpal and Aujla, Gagangeet Singh and Bali, Rasmeet Singh",Pilot Study,"January 1, 2021",https://www.sciencedirect.com/science/article/pii/S2210537920301876,"container as a service, edge computing, resource optimization, software defined networking, stackelberg game",,,"simulation, workload generation",
Article,Microservices and Machine Learning Algorithms for Adaptive Green Buildings,,Pilot Study,,https://www.researchgate.net/publication/335099322_Microservices_and_Machine_Learning_Algorithms_for_Adaptive_Green_Buildings,,,,ML 🤮,Rejected
Conference,Sustainability and dependability evaluation on data center architectures,,Pilot Study,,https://ieeexplore.ieee.org/document/6083698,,,,focused on overall data center hawdware,Rejected
Conference,Sustainability Analysis in Data Center Dense Architectures,,Pilot Study,,https://ieeexplore.ieee.org/document/9335791,,,,"Too broad, focused on data centres in general ",Rejected
Article,Dynamic performance–Energy tradeoff consolidation with contention-aware resource provisioning in containerized clouds,"Canosa-Reyes, Rewer M and Tchernykh, Andrei and Cort{\'e}s-Mendoza, Jorge M and Pulido-Gaytan, Bernardo and Rivera-Rodriguez, Ra{\'u}l and Lozano-Rizk, Jose E and Concepci{\'o}n-Morales, Eduardo R and Castro Barrera, Harold Enrique and Barrios-Hernandez, Carlos J and Medrano-Jaimes, Favio and other",Pilot Study,"January 1, 2022",https://www.researchgate.net/publication/357983098_Dynamic_performance-Energy_tradeoff_consolidation_with_contention-aware_resource_provisioning_in_containerized_clouds,,,,"more focused on scheduling policies rather than container evaluation ",Rejected
Journal,Energy-Efficient Workflow Scheduling Using Container-Based Virtualization in Software-Defined Data Centers,"Ranjan, Rohit and Thakur, Ishan Singh and Aujla, Gagangeet Singh and Kumar, Neeraj and Zomaya, Albert Y.",Pilot Study,"January 1, 2020",https://ieeexplore.ieee.org/abstract/document/9057431,"cloud computing, container, datacenter, servers, task analysis, virtual machines, virtualization, workflow scheduling",,,,
Conference,DRACeo: A smart simulator to deploy energy saving methods in microservices based networks,"Valera, Hernan Humberto Alvarez and Dalmau, Marc and Roose, Philippe and Larracoechea, Jorge and Herzog, Christina",Pilot Study,"January 1, 2020",https://ieeexplore.ieee.org/document/9338525,"RAM, central processing unit, energy consumption, microservices, middleware, performance evaluation, quality of service, schedules, simulator, software algorithms",,,potentially useful tool,
Conference,A Microservice-Based Architecture for Performance and Energy Benchmarking of Docker-Host Linux Distributions on Internet-of-Things Devices,"Lennick, David and Azim, Akramul and Liscano, Ramiro",Pilot Study,"January 1, 2021",https://ieeexplore.ieee.org/document/9453517,"benchmark testing, container, energy consumption, industries, iot, linux, performance, performance evaluation",,,"energy benchmarking of linux based docker host seems very relevant ",
Conference,Internet of Things (IoT) communication protocols: Review,,Pilot Study,,https://ieeexplore.ieee.org/document/8079928,,,,"doesnt include docker, energy or cloud",Rejected
Conference,Energy Efficient Genetic Algorithm for Container Consolidation in Cloud System,"Patel, Dimple and Patra, Manoj Kumar and Sahoo, Bibhudatta",Pilot Study,"January 1, 2020",https://ieeexplore.ieee.org/document/9071005,"cloud computing, container, containerized cloud, datacenter, energy consumption, memory management, servers, virtual machines, virtualization",,,,
Journal,Container-as-a-Service at the Edge: Trade-off between Energy Efficiency and Service Availability at Fog Nano Data Centers,"Kaur, Kuljeet and Dhand, Tanya and Kumar, Neeraj and Zeadally, Sherali",Pilot Study,,https://ieeexplore.ieee.org/abstract/document/7955911,"cloud computing, container, edge computing, energy consumption, iot, memory management, real-time systems, time factors",,,"considers containers, energy consumption and trade offs",
Journal,Data Center Network Virtualization: A Survey,"Bari, Md. Faizul and Boutaba, Raouf and Esteves, Rafael and Granville, Lisandro Zambenedetti and Podlesny, Maxim and Rabbani, Md Golam and Zhang, Qi and Zhani, Mohamed Faten",Pilot Study,"January 1, 2013",https://ieeexplore.ieee.org/document/6308765,"bandwidth, computer architecture, datacenter, network architecture, network topology, virtualization, virtualized data center",,,,
Article,Empirical Performance and Energy Consumption Evaluation of Container Solutions on Resource Constrained IoT Gateways,"Raza, Syed M and Jeong, Jaeyeop and Kim, Moonseong and Kang, Byungseok and Choo, Hyunseung",Pilot Study,"January 1, 2021",https://www.researchgate.net/publication/349362645_Empirical_Performance_and_Energy_Consumption_Evaluation_of_Container_Solutions_on_Resource_Constrained_IoT_Gateways,"container, docker swarm, empirical analysis, energy consumption, iot, kubernetes",,,,
Journal,Edge Computing and Microservices Middleware for Home Energy Management Systems,"Ferreira, Luiz C. B. C. and Borchardt, Andreza Da Rosa and Cardoso, Gustavo Dos Santos and Mendes Lemes, Dimas Augusto and Sousa, Gabriel Rodrigues Dos Reis de and Neto, Fernando Bauer and de Lima, Eduardo Rodrigues and Fraidenraich, Gustavo and Cardieri, Paulo and Meloni, Luís Geraldo P",Pilot Study,"January 1, 2022",https://ieeexplore.ieee.org/document/9917529,,,,"Too focused on hardware, smart homes, iot",Rejected
Article,Containergy—A Container-Based Energy and Performance Profiling Tool for Next Generation Workloads,"Silva-de-Souza, Wellington and Iranfar, Arman and Br{\'a}ulio, Anderson and Zapater, Marina and Xavier-de-Souza, Samuel and Olcoz, Katzalin and Atienza, Davi",Pilot Study,"January 1, 2020",https://www.researchgate.net/publication/341139186_Containergy-A_Container-Based_Energy_and_Performance_Profiling_Tool_for_Next_Generation_Workloads,"DVFS, energy profiling, performance counters, performance profiling, software containers",,,Potential useful tool for profiling containers,
Article,A review of microservices autoscaling with formal verification perspective,"Jawaddi, Siti Nuraishah Agos and Johari, Muhammad Hamizan and Ismail, Azlan",Pilot Study,"January 1, 2022",https://onlinelibrary.wiley.com/doi/full/10.1002/spe.3135,,,,"out of scope, too narrow on ML based methods",Rejected
Article,Securing microservices and microservice architectures: A systematic mapping study,"Hannousse, Abdelhakim and Yahiouche, Salima",,"January 1, 2021",https://www.sciencedirect.com/science/article/pii/S1574013721000551,,,,"Too focused on security, lacks focus on energy",Rejected
Conference,Microservices Architecture in DevOps,"Waseem, Liang",Pilot Study,"January 1, 2017",https://www.researchgate.net/publication/322986199_Microservices_Architecture_in_DevOps,"devops, microservices, systematic mapping",http://dx.doi.org/10.1109/APSECW.2017.18,,,
Journal,Architecting with microservices: A systematic mapping study,Paolo {Di Francesco} and Patricia Lago and Ivano Malavolta,Pilot Study,"January 1, 2019",https://www.sciencedirect.com/science/article/pii/S0164121219300019,"microservices, software architecture, systematic mapping",10.1016/j.jss.2019.01.001,,,
Journal,The pains and gains of microservices: A Systematic grey literature review,"Soldani, Jacopo and Tamburri, Damian Andrew and Van Den Heuvel, Willem-Jan",Pilot Study,"January 1, 2018",https://www.sciencedirect.com/science/article/pii/S0164121218302139,"microservices, microservices design, microservices development, microservices operation, systematic literature review",,,,
,Microservices in Practice: A Survey Study,"Viggiato, Markos and Terra, Ricardo and Rocha, Henrique and Valente, Marco Tulio and Figueiredo, Eduardo",Pilot Study,"January 1, 2018",https://arxiv.org/abs/1808.04836,microservices,,,,
Article,Challenges of Microservices Architecture: A Survey on the State of the Practice,"Ghofrani, Javad and L{\""u}bke, Daniel",Pilot Study,"January 1, 2018",https://www.researchgate.net/publication/328216639_Challenges_of_Microservices_Architecture_A_Survey_on_the_State_of_the_Practice,"empirical software engineering, microservices, software architecture, state of practice",,,,
Conference,A Systematic Literature Review on Microservices,"Vural, Hulya and Koyuncu, Murat and Guney, Sinem",Pilot Study,"January 1, 2017",https://www.researchgate.net/publication/318425527_A_Systematic_Literature_Review_on_Microservices,"SOA, cloud, microservices, systematic mapping, web services",10.1007/978-3-319-62407-5_14,,Facts on MS systems,
Journal,Renewable Energy-Based Multi-Indexed Job Classification and Container Management Scheme for Sustainability of Cloud Data Centers,"Kumar, Neeraj and Aujla, Gagangeet Singh and Garg, Sahil and Kaur, Kuljeet and Ranjan, Rajiv and Garg, Saurabh Kumar",Pilot Study,"January 1, 2019",https://ieeexplore.ieee.org/document/8278252,"carbon dioxide, cloud computing, container, container as a service, datacenter, energy consumption, energy management, renewable energy sources, sustainability, sustainable development, virtualization",,,,
Conference,Forecasting the Energy Consumption of Cloud Data Centers Based on Container Placement with Ant Colony Optimization and Bin Packing,"Bouaouda, Amine and Afdel, Karim and Abounacer, Rachida",Pilot Study,"January 1, 2022",https://ieeexplore.ieee.org/document/9766522,"aco, ant colony optimization, cloud computing, container, container placement, datacenter, energy consumption, ffd, minimization, servers",10.1109/CIoT53061.2022.9766522,,,
Article,An energy saving approach: understanding microservices as multidimensional entities in p2p networks,"Valera, Hernan Humberto Alvarez and Dalmau, Marc and Roose, Philippe and Larracoechea, Jorge and Herzog, Christina",Pilot Study,"January 1, 2021",https://dl.acm.org/doi/10.1145/3412841.3441888,"P2P, cloud computing, distributed algorithms, energy consumption, microservices, power consumption",10.1145/3412841.3441888,,Energy saving approach for MS,
Conference,SIMR: Single Instruction Multiple Request Processing for Energy-Efficient Data Center Microservices,"Khairy, Mahmoud and Alawneh, Ahmad and Barnes, Aaron and Rogers, Timothy G.",Pilot Study,"January 1, 2022",https://ieeexplore.ieee.org/document/9923866,"central processing unit, datacenter, energy efficiency, gpu, hardware, memory management",10.1109/MICRO56248.2022.00040,,Potential tactics to improve energy of MS systems,
Article,Microservice-Based Architecture for an Energy Management System,"Lyu, Zhongliang and Wei, Hua and Bai, Xiaoqing and Lian, Chunjie",Pilot Study,"January 1, 2020",https://ieeexplore.ieee.org/document/9057450,"cloud computing, computer architecture, container, energy maangement system, energy management, microservices, power system reliability, reliability, resource mangement, servers",10.1109/JSYST.2020.2981095,,,
Journal,Kubernetes-Container-Cluster-Based Architecture for an Energy Management System,"Li, Zongsheng and Wei, Hua and Lyu, Zhongliang and Lian, Chunjie",Pilot Study,"January 1, 2021",https://ieeexplore.ieee.org/abstract/document/9433536,"cloud computing, container, discrete markov theory, energy maangement system, kubernetes, power system reliability, reliability, software reliability",10.1109/ACCESS.2021.3081559,,,
Conference,Energy-Efficient Core Allocation and Deployment for Container-Based Virtualization,"Lin, Ching-Chi and Chen, Jian-Jia and Liu, Pangfeng and Wu, Jan-Jan",Pilot Study,"January 1, 2018",https://ieeexplore.ieee.org/document/8644537,"cloud computing, container, dyamic programming, energy consumption, energy efficiency, resource allocation, resource mangement, servers, task analysis, virtual machines",10.1109/PADSW.2018.8644537,,,
Article,Cloud-Based Smart Energy Framework for Accelerated Data Analytics with Parallel Computing of Orchestrated Containers: Study Case of CU-BEMS,"Saengkaenpetch, Kittipat and Aswakul, Chaodit",Pilot Study,"January 19, 2022",https://dl.acm.org/doi/10.1145/3503047.3503088,"data analytics, kubernetes, parallel computing, smart energy framework",,,,
Journal,An Energy and Performance Aware Consolidation Technique for Containerized Datacenters,"Khan, Ayaz Ali and Zakarya, Muhammad and Buyya, Rajkumar and Khan, Rahim and Khan, Mukhtaj and Rana, Omer",Pilot Study,"January 1, 2021",https://ieeexplore.ieee.org/document/8731726,"cloud computing, consolidation, container, datacenter, energy consumption, energy efficiency, optimization, performance evaluation, resource mangement, runtime",10.1109/TCC.2019.2920914,,Enery consumption facts in cloud,
Article,A novel energy-aware resource management technique using joint VM and container consolidation approach for green computing in cloud data centers,"Gholipour, Niloofar and Arianyan, Ehsan and Buyya, Rajkumar",Pilot Study,"January 1, 2020",https://www.sciencedirect.com/science/article/pii/S1569190X20300666#keys0001,"cloud computing, consolidation, containerization, datacenter, energy consumption, resource mangement",,,MS Cloud Simulation,
